FECHA,EJECUTADO,PROG. DIARIA,PROG. SEMANAL
01/01/2023 00:30,6120.78,6169.31715,6191.21687
01/01/2023 01:00,6010.91339,6117.33571,6170.43815
01/01/2023 01:30,5946.833,6064.32193,5993.24085
01/01/2023 02:00,5846.17,5969.5522,5970.52823
01/01/2023 02:30,5756.135,5902.17432,5856.17841
01/01/2023 03:00,5661.92386,5814.22187,5853.26106
01/01/2023 03:30,5586.487,5739.02685,5797.1474
01/01/2023 04:00,5548.777,5643.92474,5797.07721
01/01/2023 04:30,5473.079,5621.0156,5676.29621
01/01/2023 05:00,5425.172,5565.27853,5669.32831
01/01/2023 05:30,5325.396,5534.67046,5495.29007
01/01/2023 06:00,5152.34511,5430.06367,5550.06584
01/01/2023 06:30,5052.485,5344.61687,5358.04221
01/01/2023 07:00,4998.856,5279.71939,5420.31528
01/01/2023 07:30,4999.932,5297.06738,5406.64545
01/01/2023 08:00,5138.013,5376.46646,5428.53275
01/01/2023 08:30,5227.673,5522.36574,5607.75568
01/01/2023 09:00,5281.299,5656.24134,5618.40653
01/01/2023 09:30,5459.14856,5774.30796,5826.84865
01/01/2023 10:00,5568.07817,5859.34017,5845.35582
01/01/2023 10:30,5532.79,5916.26294,6013.68218
01/01/2023 11:00,5722.76,5977.95539,6067.68274
01/01/2023 11:30,5689.529,6036.01885,6101.2118
01/01/2023 12:00,5714.203,6067.68612,6111.56072
01/01/2023 12:30,5812.151,6078.41552,6115.14876
01/01/2023 13:00,5833.729,6082.98396,6154.44375
01/01/2023 13:30,5839.33547,6061.44239,6099.46595
01/01/2023 14:00,5822.17636,6036.44031,6105.75148
01/01/2023 14:30,5875.0796,6019.68275,6092.76134
01/01/2023 15:00,5806.10706,6006.93641,6078.49189
01/01/2023 15:30,5754.95752,6028.86727,6066.20557
01/01/2023 16:00,5774.457,5952.05305,6024.2305
01/01/2023 16:30,5668.043,5887.18866,5934.0006
01/01/2023 17:00,5662.456,5873.90473,5956.83216
01/01/2023 17:30,5728.914,5917.24203,5999.85532
01/01/2023 18:00,5850.105,6054.8213,5959.33822
01/01/2023 18:30,5992.819,6348.9948,6562.89004
01/01/2023 19:00,6372.48164,6689.77009,6544.38969
01/01/2023 19:30,6444.53,6772.75558,6933.8682
01/01/2023 20:00,6586.974,6865.92368,6929.46553
01/01/2023 20:30,6622.29,6894.78619,6939.29281
01/01/2023 21:00,6570.429,6828.05529,6906.67778
01/01/2023 21:30,6466.23,6756.82756,6768.95628
01/01/2023 22:00,6320.072,6626.54162,6763.51414
01/01/2023 22:30,6304.249,6529.18026,6443.94975
01/01/2023 23:00,6115.269,6345.27573,6447.67301
01/01/2023 23:30,5960.729,6191.92224,6123.59327
02/01/2023 00:00,5907.599,6027.15186,6125.97684
02/01/2023 00:30,5832.44385,5890.56142,5886.03759
02/01/2023 01:00,5624.33812,5785.04615,5876.74362
02/01/2023 01:30,5565.32395,5703.31234,5721.01331
02/01/2023 02:00,5593.89875,5625.21089,5700.93267
02/01/2023 02:30,5545.38278,5579.02898,5629.71243
02/01/2023 03:00,5477.84378,5574.923,5617.93706
02/01/2023 03:30,5388.43731,5555.17816,5593.26579
02/01/2023 04:00,5530.16729,5553.39217,5613.43915
02/01/2023 04:30,5496.98374,5560.84607,5620.18344
02/01/2023 05:00,5531.49629,5635.73241,5622.52642
02/01/2023 05:30,5534.69715,5668.50444,5595.93738
02/01/2023 06:00,5514.85518,5614.92522,5650.42195
02/01/2023 06:30,5481.72087,5841.50298,5775.58928
02/01/2023 07:00,5718.03348,5978.95047,5802.25717
02/01/2023 07:30,5963.00655,6171.30667,6229.51853
02/01/2023 08:00,6191.83562,6423.55993,6253.87727
02/01/2023 08:30,6300.85341,6655.45764,6712.23039
02/01/2023 09:00,6588.39967,6764.56156,6754.79351
02/01/2023 09:30,6722.8879,6925.83057,6981.61812
02/01/2023 10:00,6685.66856,7010.25424,6983.29129
02/01/2023 10:30,6767.09633,7141.10246,7197.378
02/01/2023 11:00,6854.12165,7198.82559,7232.26303
02/01/2023 11:30,7035.03618,7262.91653,7366.27043
02/01/2023 12:00,7065.05075,7287.85715,7367.05916
02/01/2023 12:30,6914.05984,7262.61335,7313.72313
02/01/2023 13:00,7070.64251,7202.16118,7325.56051
02/01/2023 13:30,6964.63711,7164.15689,7256.52226
02/01/2023 14:00,7029.24235,7185.0314,7247.60885
02/01/2023 14:30,7071.858,7293.25237,7374.35396
