"Fecha","Hora","Producto","Cantidad","Precio.Unitario","Tienda"
"2024-01-01","10:00","Pollo",13.01,8,"Lima"
"2024-01-01","10:01","Fresa",8.54,6,"Arequipa"
"2024-01-01","10:03","Naranja",9.01,2.2,"Lima"
"2024-01-01","10:03","Cebolla",10.39,1.8,"Trujillo"
"2024-01-01","10:04","Zanahoria",108.14,1.8,"Arequipa"
"2024-01-01","10:06","Pollo",2.85,8,"Trujillo"
"2024-01-01","10:08","Pera",2.39,3.5,"Trujillo"
"2024-01-01","10:11","Jamon",1.69,9.5,"Chiclayo"
"2024-01-01","10:16","Jamon",5.65,9.5,"Lima"
"2024-01-01","10:19","Queso",1.34,10,"Lima"
"2024-01-01","10:24","Pollo",0.9,8,"Arequipa"
"2024-01-01","10:24","Plátano",11.37,1.5,"Cusco"
"2024-01-01","10:25","Jamon",1.41,9.5,"Arequipa"
"2024-01-01","10:25","Plátano",13.57,1.5,"Arequipa"
"2024-01-01","10:27","Pollo",1.26,8,"Lima"
"2024-01-01","10:27","Queso",17.76,10,"Arequipa"
"2024-01-01","10:28","Pera",13.34,3.5,"Cusco"
"2024-01-01","10:30","Fresa",3.88,6,"Cusco"
"2024-01-01","10:33","Plátano",4.79,1.5,"Chiclayo"
"2024-01-01","10:34","Tomate",8.28,2,"Trujillo"
"2024-01-01","10:36","Tomate",3.6,2,"Lima"
"2024-01-01","10:37","Cebolla",3.99,1.8,"Trujillo"
"2024-01-01","10:43","Naranja",7.62,2.2,"Lima"
"2024-01-01","10:43","Jamon",3.5,9.5,"Lima"
"2024-01-01","10:43","Lechuga",9.81,1.5,"Arequipa"
"2024-01-01","10:46","Jamon",0.76,9.5,"Cusco"
"2024-01-01","10:49","Jamon",12.3,9.5,"Arequipa"
"2024-01-01","10:49","Plátano",39.21,1.5,"Arequipa"
"2024-01-01","10:49","Uva",3.48,4,"Chiclayo"
"2024-01-01","10:50","Plátano",33.71,1.5,"Cusco"
"2024-01-01","10:53","Jamon",2.26,9.5,"Lima"
"2024-01-01","10:55","Manzana",4.26,3,"Cusco"
"2024-01-01","10:59","Pescado",5.57,15,"Cusco"
"2024-01-01","11:02","Pollo",4.08,8,"Arequipa"
"2024-01-01","11:02","Tomate",9.44,2,"Cusco"
"2024-01-01","11:04","Pera",3.14,3.5,"Lima"
"2024-01-01","11:04","Jamon",4.51,9.5,"Cusco"
"2024-01-01","11:05","Papa",28.45,1.2,"Trujillo"
"2024-01-01","11:05","Plátano",15.75,1.5,"Cusco"
"2024-01-01","11:07","Pollo",2.16,8,"Cusco"
"2024-01-01","11:07","Manzana",14.55,3,"Cusco"
"2024-01-01","11:08","Tomate",66.62,2,"Trujillo"
"2024-01-01","11:08","Lechuga",4.79,1.5,"Chiclayo"
"2024-01-01","11:09","Jamon",11.65,9.5,"Cusco"
"2024-01-01","11:09","Naranja",3.86,2.2,"Chiclayo"
"2024-01-01","11:10","Tomate",4.24,2,"Trujillo"
"2024-01-01","11:10","Plátano",15.78,1.5,"Cusco"
"2024-01-01","11:10","Jamon",0.76,9.5,"Chiclayo"
"2024-01-01","11:10","Fresa",12.62,6,"Chiclayo"
"2024-01-01","11:11","Carne de Res",0.48,16.5,"Trujillo"
"2024-01-01","11:11","Naranja",19.29,2.2,"Cusco"
"2024-01-01","11:12","Queso",1.14,10,"Lima"
"2024-01-01","11:14","Plátano",29.77,1.5,"Trujillo"
"2024-01-01","11:15","Queso",1.9,10,"Arequipa"
"2024-01-01","11:16","Pera",20.57,3.5,"Cusco"
"2024-01-01","11:19","Papa",18.53,1.2,"Trujillo"
"2024-01-01","11:19","Queso",2.14,10,"Chiclayo"
"2024-01-01","11:20","Lechuga",14.49,1.5,"Cusco"
"2024-01-01","11:22","Manzana",19.84,3,"Trujillo"
"2024-01-01","11:23","Manzana",4.95,3,"Trujillo"
"2024-01-01","11:25","Huevo",1,7.2,"Arequipa"
"2024-01-01","11:25","Queso",1.05,10,"Trujillo"
"2024-01-01","11:28","Tomate",20.48,2,"Lima"
"2024-01-01","11:32","Fresa",1.2,6,"Arequipa"
"2024-01-01","11:32","Cebolla",3.99,1.8,"Cusco"
"2024-01-01","11:33","Pescado",6.14,15,"Lima"
"2024-01-01","11:34","Carne de Cerdo",0.44,18,"Arequipa"
"2024-01-01","11:34","Cordero",1.5,24,"Cusco"
"2024-01-01","11:34","Cordero",0.3,24,"Chiclayo"
"2024-01-01","11:37","Jamon",0.94,9.5,"Arequipa"
"2024-01-01","11:37","Carne de Cerdo",1.04,18,"Trujillo"
"2024-01-01","11:40","Manzana",10.72,3,"Lima"
"2024-01-01","11:41","Cordero",0.34,24,"Cusco"
"2024-01-01","11:42","Papa",8.6,1.2,"Arequipa"
"2024-01-01","11:42","Cebolla",3.99,1.8,"Trujillo"
"2024-01-01","11:43","Tomate",36.24,2,"Chiclayo"
"2024-01-01","11:46","Queso",1.05,10,"Cusco"
"2024-01-01","11:50","Carne de Res",1.44,16.5,"Arequipa"
"2024-01-01","11:52","Naranja",3.27,2.2,"Arequipa"
"2024-01-01","11:53","Cordero",0.57,24,"Lima"
"2024-01-01","11:56","Huevo",3.19,7.2,"Cusco"
"2024-01-01","11:57","Uva",3.75,4,"Cusco"
"2024-01-01","12:00","Huevo",4.44,7.2,"Cusco"
"2024-01-01","12:01","Tomate",28.48,2,"Lima"
"2024-01-01","12:01","Lechuga",4.79,1.5,"Arequipa"
"2024-01-01","12:03","Uva",2.02,4,"Cusco"
"2024-01-01","12:05","Pera",15.32,3.5,"Lima"
"2024-01-01","12:05","Naranja",11.26,2.2,"Lima"
"2024-01-01","12:05","Plátano",26.49,1.5,"Arequipa"
"2024-01-01","12:05","Pera",26.35,3.5,"Chiclayo"
"2024-01-01","12:10","Naranja",13.47,2.2,"Cusco"
"2024-01-01","12:11","Naranja",3.27,2.2,"Lima"
"2024-01-01","12:11","Tomate",7.1,2,"Arequipa"
"2024-01-01","12:12","Pera",14.15,3.5,"Trujillo"
"2024-01-01","12:15","Fresa",7.84,6,"Lima"
"2024-01-01","12:18","Papa",35.93,1.2,"Chiclayo"
"2024-01-01","12:20","Manzana",9.68,3,"Arequipa"
"2024-01-01","12:20","Lechuga",9.06,1.5,"Cusco"
"2024-01-01","12:21","Naranja",97.73,2.2,"Lima"
"2024-01-01","12:22","Queso",10.21,10,"Lima"
"2024-01-01","12:22","Cebolla",37.29,1.8,"Lima"
"2024-01-01","12:23","Uva",20.79,4,"Arequipa"
"2024-01-01","12:24","Pollo",4.76,8,"Trujillo"
"2024-01-01","12:28","Queso",3.72,10,"Arequipa"
"2024-01-01","12:29","Fresa",1.2,6,"Trujillo"
"2024-01-01","12:30","Naranja",20.61,2.2,"Lima"
"2024-01-01","12:31","Zanahoria",3.99,1.8,"Chiclayo"
"2024-01-01","12:32","Huevo",4.08,7.2,"Lima"
"2024-01-01","12:32","Fresa",3.04,6,"Arequipa"
"2024-01-01","12:35","Huevo",1.86,7.2,"Arequipa"
"2024-01-01","12:35","Plátano",22.66,1.5,"Trujillo"
"2024-01-01","12:36","Pera",25.91,3.5,"Chiclayo"
"2024-01-01","12:36","Pollo",1.11,8,"Chiclayo"
"2024-01-01","12:37","Pollo",3.59,8,"Chiclayo"
"2024-01-01","12:41","Queso",4.61,10,"Lima"
"2024-01-01","12:47","Jamon",3.37,9.5,"Lima"
"2024-01-01","12:47","Pollo",0.94,8,"Trujillo"
"2024-01-01","12:47","Cebolla",7.1,1.8,"Cusco"
"2024-01-01","12:48","Uva",3.89,4,"Trujillo"
"2024-01-01","12:49","Fresa",1.88,6,"Arequipa"
"2024-01-01","12:49","Carne de Res",0.64,16.5,"Cusco"
"2024-01-01","12:50","Queso",1.04,10,"Lima"
"2024-01-01","12:52","Pera",12.58,3.5,"Chiclayo"
"2024-01-01","12:53","Lechuga",4.79,1.5,"Chiclayo"
"2024-01-01","12:54","Jamon",4.41,9.5,"Trujillo"
"2024-01-01","12:55","Plátano",106.35,1.5,"Chiclayo"
"2024-01-01","12:56","Papa",81.04,1.2,"Chiclayo"
"2024-01-01","13:00","Manzana",31.26,3,"Arequipa"
"2024-01-01","13:01","Carne de Cerdo",1.03,18,"Trujillo"
"2024-01-01","13:04","Carne de Res",1.06,16.5,"Lima"
"2024-01-01","13:04","Pera",2.32,3.5,"Arequipa"
"2024-01-01","13:05","Pollo",2.08,8,"Chiclayo"
"2024-01-01","13:06","Queso",1.27,10,"Arequipa"
"2024-01-01","13:10","Zanahoria",6.86,1.8,"Lima"
"2024-01-01","13:10","Manzana",3.49,3,"Trujillo"
"2024-01-01","13:11","Jamon",4.93,9.5,"Trujillo"
"2024-01-01","13:13","Cebolla",23.62,1.8,"Arequipa"
"2024-01-01","13:16","Queso",0.72,10,"Trujillo"
"2024-01-01","13:16","Tomate",3.6,2,"Trujillo"
"2024-01-01","13:21","Carne de Cerdo",0.85,18,"Trujillo"
"2024-01-01","13:22","Fresa",8.64,6,"Trujillo"
"2024-01-01","13:22","Carne de Res",1.2,16.5,"Cusco"
"2024-01-01","13:26","Pollo",1.68,8,"Arequipa"
"2024-01-01","13:28","Pollo",0.94,8,"Chiclayo"
"2024-01-01","13:29","Naranja",9.59,2.2,"Cusco"
"2024-01-01","13:31","Carne de Res",6.2,16.5,"Lima"
"2024-01-01","13:31","Plátano",17.19,1.5,"Arequipa"
"2024-01-01","13:31","Tomate",10.54,2,"Cusco"
"2024-01-01","13:36","Huevo",8.57,7.2,"Cusco"
"2024-01-01","13:36","Jamon",0.76,9.5,"Chiclayo"
"2024-01-01","13:43","Uva",2.12,4,"Cusco"
"2024-01-01","13:44","Queso",6.9,10,"Trujillo"
"2024-01-01","13:47","Tomate",7.44,2,"Cusco"
"2024-01-01","13:50","Plátano",13.66,1.5,"Cusco"
"2024-01-01","13:50","Carne de Res",2.52,16.5,"Chiclayo"
"2024-01-01","13:51","Pollo",2.07,8,"Trujillo"
"2024-01-01","13:54","Lechuga",9.4,1.5,"Cusco"
"2024-01-01","13:57","Papa",34.15,1.2,"Cusco"
"2024-01-01","14:00","Carne de Res",1.26,16.5,"Arequipa"
"2024-01-01","14:01","Lechuga",8.49,1.5,"Trujillo"
