area_m2,distancia_centro_km,antiguedad_anios,banos,habitaciones,estacionamiento,precio
70,14.5,32,2,1,1,102297
112,11.0,23,1,3,1,164345
148,14.2,31,2,4,0,248901
137,19.2,33,2,3,0,198246
68,14.0,27,1,1,0,98257
117,2.0,14,2,3,1,253621
134,6.9,32,2,4,1,261182
155,12.3,34,2,4,0,256217
87,5.5,31,2,2,0,162502
113,19.3,18,2,3,1,179597
172,19.0,9,2,4,0,293091
180,17.1,9,3,5,0,305957
45,10.0,13,3,1,1,87021
120,17.0,21,1,2,1,185832
100,3.5,1,2,3,1,234767
51,6.9,31,2,2,1,102563
64,9.8,14,1,2,1,135504
89,15.1,16,2,2,1,151448
114,10.2,25,1,4,1,207684
101,3.6,33,3,4,1,218547
157,7.5,21,2,5,1,304064
79,7.2,19,1,3,0,126604
101,6.7,18,1,3,1,206697
83,4.1,0,1,2,1,181667
49,8.9,13,2,1,1,106726
132,9.5,10,2,4,0,249628
117,15.7,27,2,3,1,192807
128,16.1,28,1,3,0,185596
46,10.9,8,1,2,1,87542
163,9.8,33,2,5,0,277395
138,15.8,25,2,4,0,218518
137,17.9,28,3,4,1,226426
116,13.8,7,2,2,0,213808
68,16.2,15,1,2,0,97058
55,18.8,0,1,1,0,84092
80,1.8,18,1,3,1,179026
106,17.6,0,1,3,1,185127
180,6.3,9,1,5,0,348885
137,10.0,34,2,3,1,231899
145,16.1,5,1,4,0,227867
112,14.6,21,1,3,0,179775
168,3.8,16,2,5,1,330839
64,13.5,11,1,2,0,111693
49,2.3,32,1,1,0,96518
64,7.8,5,2,2,0,116060
78,16.4,28,1,3,0,84789
168,9.1,29,1,4,1,303870
75,12.4,31,2,2,1,116075
118,14.8,7,2,3,0,201963
172,16.6,28,2,5,1,272779
175,15.4,14,2,5,0,294573
128,1.1,13,1,3,1,277028
66,9.0,19,1,2,1,117447
164,9.8,13,2,4,0,302194
112,2.1,24,3,3,1,244978
92,11.3,3,2,3,0,190945
61,12.5,7,2,2,1,106029
57,16.7,32,2,2,0,75044
138,18.9,33,2,3,1,209790
152,3.4,11,1,4,0,300215
