Nro pedido,ITEM,Cantidad,Latitud,Longitud,Fecha_pedido,fecha_embarque,fecha_recepcion,fecha_bodega,fecha_entrega
1,94,6,-11.970184,-77.059536,20230201,20230206.0,20230209.0,,
2,98,3,-11.934493,-77.046077,20230208,20230213.0,20230217.0,,
3,17,3,-12.011876,-76.98234,20230207,20230213.0,,,
4,86,5,-12.147109,-77.014768,20230112,20230117.0,20230131.0,20230204.0,
5,25,3,-12.0184,-77.059282,20230210,,,,
6,35,3,-12.01115,-76.981949,20230212,20230216.0,20230219.0,,
7,70,2,-12.047568,-76.966247,20230218,,,,
8,47,1,-12.049487,-76.965929,20230218,,,,
9,69,1,-12.009208,-76.976698,20230131,20230206.0,,,
10,40,1,-12.046645,-76.968398,20230202,20230204.0,20230208.0,,
11,93,5,-12.051353,-76.971471,20230108,20230112.0,20230125.0,20230130.0,20230204.0
12,26,4,-11.923404,-77.075301,20230218,,,,
13,16,1,-11.890793,-77.129006,20230115,20230116.0,20230125.0,20230130.0,20230203.0
14,60,2,-11.928119,-77.073886,20230131,20230201.0,20230215.0,,
15,67,4,-12.053112,-76.974473,20230129,20230204.0,20230214.0,20230218.0,
16,110,2,-11.955658,-77.052515,20230212,20230217.0,,,
17,64,4,-11.891168,-77.127383,20230131,20230201.0,20230214.0,,
18,56,4,-12.192285,-76.956161,20230114,20230118.0,20230201.0,,
19,98,3,-11.928691,-77.076486,20230128,20230202.0,20230208.0,20230212.0,
20,8,2,-11.940137,-77.044263,20230216,,,,
21,123,3,-12.192539,-76.956505,20230210,20230211.0,20230212.0,20230215.0,
22,25,1,-11.929192,-77.076597,20230212,,,,
23,50,2,-12.009782,-76.979128,20230212,20230215.0,,,
24,8,5,-11.948085,-77.046586,20230125,20230129.0,20230203.0,,
25,100,1,-11.874862,-77.127099,20230128,20230204.0,20230211.0,,
26,7,2,-11.934442,-77.077927,20230112,20230115.0,20230128.0,20230130.0,20230205.0
27,101,3,-11.935662,-77.077613,20230213,20230215.0,,,
28,27,4,-12.191531,-76.955721,20230203,20230208.0,20230215.0,20230218.0,
29,83,6,-11.925157,-77.040275,20230131,20230201.0,20230208.0,20230213.0,20230220.0
30,67,1,-11.936277,-77.077203,20230129,20230203.0,20230216.0,,
31,88,4,-12.064693,-76.997123,20230217,20230218.0,,,
32,62,1,-11.937133,-77.078152,20230213,20230217.0,,,
33,8,3,-11.968168,-76.99216,20230203,20230207.0,20230209.0,,
34,93,5,-12.191667,-76.954325,20230203,20230205.0,,,
35,20,4,-11.948151,-77.047523,20230129,20230203.0,,,
36,90,1,-11.913205,-77.008274,20230207,20230208.0,20230209.0,,
37,39,1,-11.947982,-77.070199,20230128,20230202.0,,,
38,108,4,-11.968065,-76.992151,20230201,20230202.0,20230210.0,20230213.0,
39,42,4,-12.194793,-76.958683,20230205,,,,
40,73,3,-11.93684,-77.078115,20230213,20230216.0,,,
41,14,2,-11.947845,-77.068356,20230124,20230125.0,20230131.0,20230204.0,20230209.0
42,115,6,-12.056404,-77.114485,20230205,20230210.0,,,
43,15,5,-11.945822,-76.982888,20230210,20230216.0,,,
44,90,3,-11.93378,-77.074982,20230131,20230207.0,,,
45,1,1,-11.913325,-77.015561,20230213,20230217.0,,,
46,20,6,-12.061829,-77.116534,20230207,20230208.0,20230218.0,,
47,41,1,-11.939165,-77.072075,20230131,20230203.0,20230215.0,20230220.0,
48,40,1,-11.913472,-77.015669,20230131,20230202.0,,,
