Fecha,Servicio,Monto
2023-01-01,Económica,16.9
2023-01-01,Regular,99.6
2023-01-01,Regular,10.3
2023-01-01,Regular,105.0
2023-01-01,Económica,11.2
2023-01-01,Confort,70.2
2023-01-01,Regular,30.4
2023-01-01,Confort,144.5
2023-01-01,Económica,12.1
2023-01-01,Económica,31.9
2023-01-01,Confort,104.5
2023-01-01,Económica,30.1
2023-01-01,Confort,36.9
2023-01-01,Regular,42.3
2023-01-01,Económica,26.4
2023-01-01,Económica,36.8
2023-01-01,Regular,33.8
2023-01-01,Confort,72.8
2023-01-01,Económica,11.3
2023-01-01,Económica,19.0
2023-01-01,Regular,91.5
2023-01-01,Confort,70.0
2023-01-01,Regular,26.5
2023-01-01,Regular,36.3
2023-01-01,Económica,18.8
2023-01-01,Regular,15.7
2023-01-01,Regular,26.9
2023-01-01,Económica,21.8
2023-01-01,Económica,33.8
2023-01-01,Económica,12.2
2023-01-01,Confort,109.5
2023-01-01,Confort,126.2
2023-01-01,Económica,42.5
2023-01-01,Regular,30.8
2023-01-01,Económica,20.1
2023-01-01,Regular,55.6
2023-01-01,Regular,41.3
2023-01-01,Económica,14.8
2023-01-01,Confort,75.6
2023-01-01,Regular,56.9
2023-01-01,Regular,91.2
2023-01-01,Confort,45.1
2023-01-01,Regular,35.8
2023-01-01,Regular,24.7
2023-01-01,Regular,83.2
2023-01-01,Regular,64.6
2023-01-01,Económica,11.3
2023-01-01,Económica,10.7
2023-01-01,Económica,22.8
2023-01-01,Regular,55.1
2023-01-01,Regular,128.4
2023-01-01,Económica,14.4
2023-01-01,Económica,34.5
2023-01-01,Regular,23.0
2023-01-01,Confort,105.1
2023-01-01,Regular,60.1
2023-01-01,Regular,59.4
2023-01-01,Económica,27.2
2023-01-01,Económica,24.5
2023-01-01,Regular,18.7
2023-01-01,Económica,11.6
2023-01-01,Regular,64.3
2023-01-01,Económica,55.5
2023-01-01,Regular,231.8
2023-01-01,Regular,164.5
2023-01-01,Regular,32.0
2023-01-01,Regular,49.8
2023-01-01,Regular,88.6
2023-01-01,Regular,61.4
2023-01-01,Económica,17.7
2023-01-01,Económica,26.2
2023-01-01,Económica,13.8
2023-01-02,Confort,161.6
2023-01-02,Regular,55.9
2023-01-02,Económica,22.8
2023-01-02,Confort,64.8
2023-01-02,Confort,57.4
2023-01-02,Regular,31.8
2023-01-02,Económica,15.9
2023-01-02,Regular,64.8
2023-01-02,Confort,46.2
2023-01-02,Confort,82.8
2023-01-02,Regular,46.1
2023-01-02,Regular,104.1
2023-01-02,Confort,49.5
2023-01-02,Confort,50.5
2023-01-02,Confort,113.0
2023-01-02,Regular,35.4
2023-01-02,Regular,17.1
2023-01-02,Regular,11.4
2023-01-02,Regular,79.3
2023-01-02,Regular,57.7
2023-01-02,Regular,69.9
2023-01-02,Económica,21.8
2023-01-02,Económica,17.2
2023-01-02,Económica,10.7
2023-01-02,Regular,31.2
2023-01-02,Regular,53.9
2023-01-02,Económica,34.5
2023-01-02,Regular,38.3
2023-01-02,Regular,125.4
2023-01-02,Regular,31.1
2023-01-02,Regular,45.5
2023-01-02,Confort,85.4
2023-01-02,Económica,34.9
2023-01-02,Regular,57.9
2023-01-02,Regular,107.6
2023-01-02,Regular,157.0
2023-01-02,Económica,17.8
2023-01-02,Regular,138.5
2023-01-02,Confort,43.3
2023-01-02,Regular,24.7
2023-01-02,Confort,40.3
2023-01-02,Regular,202.6
2023-01-02,Económica,43.4
2023-01-02,Regular,29.6
2023-01-02,Regular,59.4
2023-01-02,Económica,23.5
2023-01-02,Económica,13.9
2023-01-02,Económica,16.8
2023-01-02,Económica,16.7
2023-01-02,Regular,18.1
2023-01-02,Regular,17.4
2023-01-02,Regular,60.4
2023-01-02,Regular,19.9
2023-01-02,Económica,30.9
2023-01-02,Regular,121.8
2023-01-02,Regular,41.6
2023-01-02,Regular,64.2
2023-01-02,Económica,19.3
2023-01-02,Económica,20.5
2023-01-02,Económica,12.1
2023-01-02,Económica,19.1
2023-01-02,Confort,26.1
2023-01-02,Económica,19.6
2023-01-02,Económica,14.6
2023-01-02,Económica,16.3
2023-01-02,Regular,40.4
2023-01-02,Económica,21.4
2023-01-02,Regular,32.3
2023-01-02,Confort,44.5
2023-01-02,Confort,67.7
2023-01-02,Económica,12.0
2023-01-02,Regular,89.1
2023-01-02,Confort,58.7
2023-01-02,Económica,14.2
2023-01-02,Regular,111.8
2023-01-03,Confort,131.3
2023-01-03,Económica,13.0
2023-01-03,Económica,25.5
2023-01-03,Regular,88.5
2023-01-03,Confort,75.9
2023-01-03,Económica,19.8
2023-01-03,Económica,21.2
2023-01-03,Regular,32.1
2023-01-03,Confort,41.7
2023-01-03,Regular,56.0
2023-01-03,Regular,32.0
2023-01-03,Regular,39.7
2023-01-03,Confort,75.8
2023-01-03,Económica,11.8
2023-01-03,Económica,23.9
2023-01-03,Regular,69.7
2023-01-03,Regular,117.8
2023-01-03,Económica,44.3
2023-01-03,Confort,46.3
