Fecha,variable,Medio_pago,Sucursal,Factura
2024-01-01,Laptops,Efectivo,Sucursal Sur,FAC000001
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000002
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000003
2024-01-01,Laptops,Efectivo,Sucursal Centro,FAC000004
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000005
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000006
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000007
2024-01-01,Laptops,Efectivo,Sucursal Este,FAC000008
2024-01-01,Laptops,Efectivo,Sucursal Este,FAC000009
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000010
2024-01-01,Laptops,Efectivo,Sucursal Centro,FAC000011
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000012
2024-01-01,Laptops,Efectivo,Sucursal Centro,FAC000013
2024-01-01,Laptops,Billetera digital,Sucursal Norte,FAC000014
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Centro,FAC000015
2024-01-01,Laptops,Efectivo,Sucursal Este,FAC000016
2024-01-01,Laptops,Efectivo,Sucursal Este,FAC000017
2024-01-01,Laptops,PayPal,Sucursal Norte,FAC000018
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000019
2024-01-01,Laptops,Efectivo,Sucursal Este,FAC000020
2024-01-01,Laptops,Efectivo,Sucursal Sur,FAC000021
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000022
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000023
2024-01-01,Laptops,Billetera digital,Sucursal Este,FAC000024
2024-01-01,Laptops,Efectivo,Sucursal Sur,FAC000025
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000026
2024-01-01,Laptops,Billetera digital,Sucursal Centro,FAC000027
2024-01-01,Laptops,Efectivo,Sucursal Sur,FAC000028
2024-01-01,Laptops,Efectivo,Sucursal Este,FAC000029
2024-01-01,Laptops,Efectivo,Sucursal Centro,FAC000030
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000031
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000032
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000033
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000034
2024-01-01,Laptops,Efectivo,Sucursal Centro,FAC000035
2024-01-01,Laptops,Efectivo,Sucursal Sur,FAC000036
2024-01-01,Laptops,Efectivo,Sucursal Centro,FAC000037
2024-01-01,Laptops,Billetera digital,Sucursal Este,FAC000038
2024-01-01,Laptops,Billetera digital,Sucursal Sur,FAC000039
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000040
2024-01-01,Laptops,Billetera digital,Sucursal Centro,FAC000041
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Sur,FAC000042
2024-01-01,Laptops,Billetera digital,Sucursal Este,FAC000043
2024-01-01,Laptops,PayPal,Sucursal Norte,FAC000044
2024-01-01,Laptops,Efectivo,Sucursal Sur,FAC000045
2024-01-01,Laptops,Efectivo,Sucursal Centro,FAC000046
2024-01-01,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000047
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000048
2024-01-01,Laptops,Efectivo,Sucursal Sur,FAC000049
2024-01-01,Laptops,Billetera digital,Sucursal Sur,FAC000050
2024-01-01,Laptops,Efectivo,Sucursal Norte,FAC000051
2024-01-02,Laptops,Efectivo,Sucursal Sur,FAC000052
2024-01-02,Laptops,Efectivo,Sucursal Sur,FAC000053
2024-01-02,Laptops,Efectivo,Sucursal Centro,FAC000054
2024-01-02,Laptops,Billetera digital,Sucursal Centro,FAC000055
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000056
2024-01-02,Laptops,Billetera digital,Sucursal Centro,FAC000057
2024-01-02,Laptops,Efectivo,Sucursal Centro,FAC000058
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000059
2024-01-02,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000060
2024-01-02,Laptops,PayPal,Sucursal Centro,FAC000061
2024-01-02,Laptops,PayPal,Sucursal Centro,FAC000062
2024-01-02,Laptops,Efectivo,Sucursal Sur,FAC000063
2024-01-02,Laptops,Efectivo,Sucursal Centro,FAC000064
2024-01-02,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000065
2024-01-02,Laptops,Efectivo,Sucursal Sur,FAC000066
2024-01-02,Laptops,Billetera digital,Sucursal Sur,FAC000067
2024-01-02,Laptops,Billetera digital,Sucursal Este,FAC000068
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000069
2024-01-02,Laptops,Efectivo,Sucursal Sur,FAC000070
2024-01-02,Laptops,Efectivo,Sucursal Este,FAC000071
2024-01-02,Laptops,Billetera digital,Sucursal Centro,FAC000072
2024-01-02,Laptops,PayPal,Sucursal Centro,FAC000073
2024-01-02,Laptops,Tarjeta de Crédito,Sucursal Norte,FAC000074
2024-01-02,Laptops,Efectivo,Sucursal Este,FAC000075
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000076
2024-01-02,Laptops,PayPal,Sucursal Centro,FAC000077
2024-01-02,Laptops,PayPal,Sucursal Norte,FAC000078
2024-01-02,Laptops,Tarjeta de Crédito,Sucursal Este,FAC000079
2024-01-02,Laptops,Billetera digital,Sucursal Este,FAC000080
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000081
2024-01-02,Laptops,Billetera digital,Sucursal Este,FAC000082
2024-01-02,Laptops,Billetera digital,Sucursal Este,FAC000083
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000084
2024-01-02,Laptops,Billetera digital,Sucursal Norte,FAC000085
2024-01-02,Laptops,Efectivo,Sucursal Este,FAC000086
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000087
2024-01-02,Laptops,Efectivo,Sucursal Norte,FAC000088
